Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,41,0
"Mar 13, 2020",13,10,100,0
"Mar 14, 2020",14,12,147,0
"Mar 15, 2020",15,16,229,0
"Mar 16, 2020",16,32,363,0
"Mar 17, 2020",17,53,550,0
"Mar 18, 2020",18,78,777,0
"Mar 19, 2020",19,134,1065,0
"Mar 20, 2020",20,168,1340,0
"Mar 21, 2020",21,194,1512,0
"Mar 22, 2020",22,223,1620,0
"Mar 23, 2020",23,257,1809,1
"Mar 24, 2020",24,302,2031,4
"Mar 25, 2020",25,357,2262,5
"Mar 26, 2020",26,423,2516,6
"Mar 27, 2020",27,498,2765,6
"Mar 28, 2020",28,548,2884,7
"Mar 29, 2020",29,593,2962,7
"Mar 30, 2020",30,693,3183,8
"Mar 31, 2020",31,792,3400,9
"Apr 01, 2020",32,899,3634,12
"Apr 02, 2020",33,998,3835,18
"Apr 03, 2020",34,1127,4102,20
"Apr 04, 2020",35,1193,4210,23
"Apr 05, 2020",36,1252,4295,27
"Apr 06, 2020",37,1375,4519,31
"Apr 07, 2020",38,1511,4754,36
"Apr 08, 2020",39,1676,4982,38
"Apr 09, 2020",40,1783,5158,48
"Apr 10, 2020",41,1911,5352,52
"Apr 11, 2020",42,1987,5433,62
"Apr 12, 2020",43,2033,5478,75
"Apr 13, 2020",44,2156,5604,83
"Apr 14, 2020",45,2345,5866,97
"Apr 15, 2020",46,2540,6097,106
"Apr 16, 2020",47,2739,6354,118
"Apr 17, 2020",48,2875,6593,134
"Apr 18, 2020",49,2967,6758,147
"Apr 19, 2020",50,3022,6830,164
"Apr 20, 2020",51,3207,7109,178
"Apr 21, 2020",52,3353,7311,194
"Apr 22, 2020",53,3525,7677,214
"Apr 23, 2020",54,3722,8000,229
"Apr 24, 2020",55,3916,8334,252
"Apr 25, 2020",56,3979,8516,281
"Apr 26, 2020",57,4026,8669,302
"Apr 27, 2020",58,4193,8952,325
"Apr 28, 2020",59,4359,9305,344
"Apr 29, 2020",60,4491,9679,360
"Apr 30, 2020",61,4594,9999,376
"May 01, 2020",62,4739,10336,387
"May 02, 2020",63,4804,10511,394
"May 03, 2020",64,4860,10659,405
"May 04, 2020",65,4999,11033,410
"May 05, 2020",66,5110,11423,423
"May 06, 2020",67,5220,11846,433
"May 07, 2020",68,5312,12207,443
"May 08, 2020",69,5375,12579,454
"May 09, 2020",70,5411,12791,465
"May 10, 2020",71,5436,12951,475
"May 11, 2020",72,5515,13394,482
"May 12, 2020",73,5618,14131,484
"May 13, 2020",74,5702,14692,490
"May 14, 2020",75,5808,15132,494
"May 15, 2020",76,5910,15646,500
"May 16, 2020",77,5934,15996,506
"May 17, 2020",78,5959,16308,509
"May 18, 2020",79,6046,16802,514
"May 19, 2020",80,6129,17330,518
"May 20, 2020",81,6189,17753,522
"May 21, 2020",82,6234,18100,522
"May 22, 2020",83,6269,18100,522
"May 23, 2020",84,6282,18100,522
"May 24, 2020",85,6291,18100,522
"May 25, 2020",86,6295,18100,522
