0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	5	0
1	5	0
1	8	0
1	10	0
2	14	0
5	21	0
7	41	0
10	100	0
12	147	0
16	229	0
32	363	0
53	551	0
78	778	0
134	1066	0
168	1341	0
194	1513	0
223	1621	0
257	1811	1
302	2033	4
357	2264	5
423	2518	6
498	2767	6
548	2886	7
593	2964	7
693	3185	8
792	3402	9
899	3636	12
999	3838	18
1128	4106	20
1194	4214	23
1253	4299	27
1376	4523	31
1512	4759	36
1677	4987	38
1784	5164	48
1912	5358	52
1988	5439	62
2034	5484	75
2157	5610	83
2346	5872	97
2541	6103	106
2741	6359	118
2878	6598	134
2970	6763	147
3025	6835	164
3210	7113	177
3357	7315	193
3530	7681	213
3728	8004	228
3922	8339	251
3985	8521	280
4032	8674	301
4199	8960	324
4365	9313	343
4497	9689	359
4600	10010	375
4745	10348	386
4810	10521	393
4866	10669	404
5005	11043	409
5116	11434	422
5226	11857	432
5318	12218	442
5381	12590	453
5417	12802	464
5442	12962	474
5521	13407	481
5624	14145	483
5708	14707	489
5813	15142	493
5915	15655	499
5937	15999	505
5962	16310	508
6040	16753	513
6115	17148	516
6142	17379	520
6158	17474	520
6168	17519	520
