Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,41,0
"Mar 13, 2020",13,10,101,0
"Mar 14, 2020",14,12,148,0
"Mar 15, 2020",15,16,229,0
"Mar 16, 2020",16,32,363,0
"Mar 17, 2020",17,53,550,0
"Mar 18, 2020",18,78,776,0
"Mar 19, 2020",19,134,1064,0
"Mar 20, 2020",20,168,1339,0
"Mar 21, 2020",21,194,1511,0
"Mar 22, 2020",22,223,1619,0
"Mar 23, 2020",23,257,1808,1
"Mar 24, 2020",24,302,2030,4
"Mar 25, 2020",25,357,2261,5
"Mar 26, 2020",26,423,2514,6
"Mar 27, 2020",27,498,2763,6
"Mar 28, 2020",28,548,2882,7
"Mar 29, 2020",29,593,2960,7
"Mar 30, 2020",30,693,3181,8
"Mar 31, 2020",31,792,3398,9
"Apr 01, 2020",32,899,3632,12
"Apr 02, 2020",33,998,3832,18
"Apr 03, 2020",34,1127,4099,20
"Apr 04, 2020",35,1193,4206,23
"Apr 05, 2020",36,1252,4291,27
"Apr 06, 2020",37,1375,4515,31
"Apr 07, 2020",38,1511,4750,36
"Apr 08, 2020",39,1676,4977,38
"Apr 09, 2020",40,1784,5152,48
"Apr 10, 2020",41,1912,5346,52
"Apr 11, 2020",42,1988,5427,62
"Apr 12, 2020",43,2034,5472,75
"Apr 13, 2020",44,2157,5598,83
"Apr 14, 2020",45,2346,5860,97
"Apr 15, 2020",46,2541,6091,106
"Apr 16, 2020",47,2742,6347,118
"Apr 17, 2020",48,2878,6586,133
"Apr 18, 2020",49,2971,6751,146
"Apr 19, 2020",50,3028,6823,163
"Apr 20, 2020",51,3213,7102,177
"Apr 21, 2020",52,3359,7303,193
"Apr 22, 2020",53,3531,7669,213
"Apr 23, 2020",54,3728,7992,228
"Apr 24, 2020",55,3922,8327,251
"Apr 25, 2020",56,3985,8509,280
"Apr 26, 2020",57,4032,8662,301
"Apr 27, 2020",58,4200,8942,324
"Apr 28, 2020",59,4366,9295,343
"Apr 29, 2020",60,4498,9669,359
"Apr 30, 2020",61,4607,9989,375
"May 01, 2020",62,4760,10326,386
"May 02, 2020",63,4825,10501,393
"May 03, 2020",64,4881,10649,404
"May 04, 2020",65,5020,11023,409
"May 05, 2020",66,5131,11409,422
"May 06, 2020",67,5241,11830,432
"May 07, 2020",68,5334,12191,442
"May 08, 2020",69,5397,12564,453
"May 09, 2020",70,5434,12776,464
"May 10, 2020",71,5460,12935,474
"May 11, 2020",72,5539,13378,483
"May 12, 2020",73,5642,14114,485
"May 13, 2020",74,5728,14676,491
"May 14, 2020",75,5833,15118,496
"May 15, 2020",76,5936,15632,502
"May 16, 2020",77,5960,15982,509
"May 17, 2020",78,5985,16294,513
"May 18, 2020",79,6074,16791,518
"May 19, 2020",80,6162,17355,522
"May 20, 2020",81,6226,17837,526
"May 21, 2020",82,6275,18287,527
"May 22, 2020",83,6330,18806,528
"May 23, 2020",84,6359,19255,530
"May 24, 2020",85,6381,19605,533
"May 25, 2020",86,6403,19828,538
"May 26, 2020",87,6450,20396,539
"May 27, 2020",88,6464,20719,540
"May 28, 2020",89,6467,20826,543
"May 29, 2020",90,6472,20855,543
