Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,41,0
"Mar 13, 2020",13,10,100,0
"Mar 14, 2020",14,12,147,0
"Mar 15, 2020",15,16,229,0
"Mar 16, 2020",16,32,363,0
"Mar 17, 2020",17,53,550,0
"Mar 18, 2020",18,78,776,0
"Mar 19, 2020",19,134,1064,0
"Mar 20, 2020",20,168,1339,0
"Mar 21, 2020",21,194,1511,0
"Mar 22, 2020",22,223,1619,0
"Mar 23, 2020",23,257,1808,1
"Mar 24, 2020",24,302,2030,4
"Mar 25, 2020",25,357,2261,5
"Mar 26, 2020",26,423,2515,6
"Mar 27, 2020",27,498,2764,6
"Mar 28, 2020",28,548,2883,7
"Mar 29, 2020",29,593,2961,7
"Mar 30, 2020",30,693,3182,8
"Mar 31, 2020",31,792,3399,9
"Apr 01, 2020",32,899,3633,12
"Apr 02, 2020",33,998,3834,18
"Apr 03, 2020",34,1127,4101,20
"Apr 04, 2020",35,1193,4209,23
"Apr 05, 2020",36,1252,4294,27
"Apr 06, 2020",37,1375,4518,31
"Apr 07, 2020",38,1511,4753,36
"Apr 08, 2020",39,1676,4980,38
"Apr 09, 2020",40,1783,5155,48
"Apr 10, 2020",41,1911,5349,52
"Apr 11, 2020",42,1987,5430,62
"Apr 12, 2020",43,2033,5475,75
"Apr 13, 2020",44,2156,5601,83
"Apr 14, 2020",45,2345,5863,97
"Apr 15, 2020",46,2540,6094,106
"Apr 16, 2020",47,2740,6351,118
"Apr 17, 2020",48,2876,6590,134
"Apr 18, 2020",49,2968,6755,147
"Apr 19, 2020",50,3024,6827,164
"Apr 20, 2020",51,3209,7106,178
"Apr 21, 2020",52,3355,7308,194
"Apr 22, 2020",53,3527,7674,214
"Apr 23, 2020",54,3724,7997,229
"Apr 24, 2020",55,3919,8331,252
"Apr 25, 2020",56,3982,8513,281
"Apr 26, 2020",57,4029,8666,302
"Apr 27, 2020",58,4196,8949,325
"Apr 28, 2020",59,4362,9302,344
"Apr 29, 2020",60,4494,9676,360
"Apr 30, 2020",61,4602,9996,376
"May 01, 2020",62,4753,10333,387
"May 02, 2020",63,4818,10508,394
"May 03, 2020",64,4874,10656,405
"May 04, 2020",65,5013,11030,410
"May 05, 2020",66,5124,11418,423
"May 06, 2020",67,5233,11841,433
"May 07, 2020",68,5326,12202,443
"May 08, 2020",69,5389,12574,454
"May 09, 2020",70,5425,12786,465
"May 10, 2020",71,5450,12946,475
"May 11, 2020",72,5529,13389,482
"May 12, 2020",73,5633,14126,484
"May 13, 2020",74,5718,14687,490
"May 14, 2020",75,5824,15129,494
"May 15, 2020",76,5927,15643,500
"May 16, 2020",77,5951,15992,506
"May 17, 2020",78,5976,16304,510
"May 18, 2020",79,6064,16801,515
"May 19, 2020",80,6151,17360,519
"May 20, 2020",81,6210,17835,523
"May 21, 2020",82,6258,18278,524
"May 22, 2020",83,6295,18676,525
"May 23, 2020",84,6314,18899,526
"May 24, 2020",85,6327,19094,529
"May 25, 2020",86,6335,19178,533
"May 26, 2020",87,6341,19223,534
