Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,41,0
"Mar 13, 2020",13,10,100,0
"Mar 14, 2020",14,12,147,0
"Mar 15, 2020",15,16,229,0
"Mar 16, 2020",16,32,363,0
"Mar 17, 2020",17,53,550,0
"Mar 18, 2020",18,78,776,0
"Mar 19, 2020",19,134,1064,0
"Mar 20, 2020",20,168,1339,0
"Mar 21, 2020",21,194,1511,0
"Mar 22, 2020",22,223,1619,0
"Mar 23, 2020",23,257,1808,1
"Mar 24, 2020",24,302,2030,4
"Mar 25, 2020",25,357,2261,5
"Mar 26, 2020",26,423,2515,6
"Mar 27, 2020",27,498,2764,6
"Mar 28, 2020",28,548,2883,7
"Mar 29, 2020",29,593,2961,7
"Mar 30, 2020",30,693,3182,8
"Mar 31, 2020",31,792,3399,9
"Apr 01, 2020",32,899,3633,12
"Apr 02, 2020",33,998,3834,18
"Apr 03, 2020",34,1127,4101,20
"Apr 04, 2020",35,1193,4209,23
"Apr 05, 2020",36,1252,4294,27
"Apr 06, 2020",37,1375,4518,31
"Apr 07, 2020",38,1511,4753,36
"Apr 08, 2020",39,1676,4980,38
"Apr 09, 2020",40,1784,5155,48
"Apr 10, 2020",41,1912,5349,52
"Apr 11, 2020",42,1988,5430,62
"Apr 12, 2020",43,2034,5475,75
"Apr 13, 2020",44,2157,5601,83
"Apr 14, 2020",45,2346,5863,97
"Apr 15, 2020",46,2541,6094,106
"Apr 16, 2020",47,2741,6350,118
"Apr 17, 2020",48,2877,6588,133
"Apr 18, 2020",49,2969,6753,146
"Apr 19, 2020",50,3025,6825,163
"Apr 20, 2020",51,3210,7103,177
"Apr 21, 2020",52,3356,7305,193
"Apr 22, 2020",53,3528,7671,213
"Apr 23, 2020",54,3725,7994,228
"Apr 24, 2020",55,3920,8328,251
"Apr 25, 2020",56,3983,8510,280
"Apr 26, 2020",57,4030,8663,301
"Apr 27, 2020",58,4197,8943,324
"Apr 28, 2020",59,4363,9296,343
"Apr 29, 2020",60,4495,9670,359
"Apr 30, 2020",61,4604,9990,375
"May 01, 2020",62,4758,10327,386
"May 02, 2020",63,4823,10502,393
"May 03, 2020",64,4879,10650,404
"May 04, 2020",65,5018,11024,409
"May 05, 2020",66,5129,11412,422
"May 06, 2020",67,5238,11834,432
"May 07, 2020",68,5331,12195,442
"May 08, 2020",69,5394,12567,453
"May 09, 2020",70,5430,12779,464
"May 10, 2020",71,5455,12938,474
"May 11, 2020",72,5534,13380,481
"May 12, 2020",73,5637,14117,483
"May 13, 2020",74,5722,14678,489
"May 14, 2020",75,5827,15120,493
"May 15, 2020",76,5930,15634,499
"May 16, 2020",77,5954,15984,505
"May 17, 2020",78,5979,16296,509
"May 18, 2020",79,6068,16792,514
"May 19, 2020",80,6156,17356,518
"May 20, 2020",81,6222,17839,522
"May 21, 2020",82,6271,18286,523
"May 22, 2020",83,6313,18714,524
"May 23, 2020",84,6337,19025,526
"May 24, 2020",85,6358,19341,529
"May 25, 2020",86,6371,19507,533
"May 26, 2020",87,6385,19649,534
"May 27, 2020",88,6389,19689,535
