Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,41,0
"Mar 13, 2020",13,10,100,0
"Mar 14, 2020",14,12,147,0
"Mar 15, 2020",15,16,229,0
"Mar 16, 2020",16,32,363,0
"Mar 17, 2020",17,53,551,0
"Mar 18, 2020",18,78,778,0
"Mar 19, 2020",19,134,1066,0
"Mar 20, 2020",20,168,1341,0
"Mar 21, 2020",21,194,1513,0
"Mar 22, 2020",22,223,1621,0
"Mar 23, 2020",23,257,1811,1
"Mar 24, 2020",24,302,2033,4
"Mar 25, 2020",25,357,2264,5
"Mar 26, 2020",26,423,2518,6
"Mar 27, 2020",27,498,2767,6
"Mar 28, 2020",28,548,2886,7
"Mar 29, 2020",29,593,2964,7
"Mar 30, 2020",30,693,3185,8
"Mar 31, 2020",31,792,3402,9
"Apr 01, 2020",32,899,3636,12
"Apr 02, 2020",33,998,3837,18
"Apr 03, 2020",34,1127,4105,20
"Apr 04, 2020",35,1193,4213,23
"Apr 05, 2020",36,1252,4298,27
"Apr 06, 2020",37,1375,4522,31
"Apr 07, 2020",38,1511,4757,36
"Apr 08, 2020",39,1676,4985,38
"Apr 09, 2020",40,1783,5161,48
"Apr 10, 2020",41,1911,5355,52
"Apr 11, 2020",42,1987,5436,62
"Apr 12, 2020",43,2033,5481,75
"Apr 13, 2020",44,2156,5607,83
"Apr 14, 2020",45,2345,5869,97
"Apr 15, 2020",46,2540,6100,106
"Apr 16, 2020",47,2740,6357,118
"Apr 17, 2020",48,2877,6596,134
"Apr 18, 2020",49,2969,6761,147
"Apr 19, 2020",50,3024,6833,164
"Apr 20, 2020",51,3209,7112,177
"Apr 21, 2020",52,3355,7314,193
"Apr 22, 2020",53,3527,7680,213
"Apr 23, 2020",54,3724,8003,228
"Apr 24, 2020",55,3918,8338,251
"Apr 25, 2020",56,3981,8520,280
"Apr 26, 2020",57,4028,8673,301
"Apr 27, 2020",58,4195,8958,324
"Apr 28, 2020",59,4361,9311,343
"Apr 29, 2020",60,4493,9687,359
"Apr 30, 2020",61,4596,10007,375
"May 01, 2020",62,4741,10345,386
"May 02, 2020",63,4806,10519,393
"May 03, 2020",64,4862,10667,404
"May 04, 2020",65,5001,11041,409
"May 05, 2020",66,5112,11432,422
"May 06, 2020",67,5222,11855,432
"May 07, 2020",68,5314,12217,442
"May 08, 2020",69,5377,12589,453
"May 09, 2020",70,5413,12801,464
"May 10, 2020",71,5438,12961,474
"May 11, 2020",72,5517,13406,481
"May 12, 2020",73,5620,14144,483
"May 13, 2020",74,5704,14706,489
"May 14, 2020",75,5812,15147,493
"May 15, 2020",76,5914,15661,499
"May 16, 2020",77,5938,16012,505
"May 17, 2020",78,5963,16323,508
"May 18, 2020",79,6050,16814,513
"May 19, 2020",80,6133,17333,516
"May 20, 2020",81,6188,17680,520
"May 21, 2020",82,6219,17892,520
"May 22, 2020",83,6231,17967,520
"May 23, 2020",84,6234,17998,520
