Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,42,0
"Mar 13, 2020",13,10,101,0
"Mar 14, 2020",14,12,148,0
"Mar 15, 2020",15,16,230,0
"Mar 16, 2020",16,32,364,0
"Mar 17, 2020",17,53,551,0
"Mar 18, 2020",18,78,778,0
"Mar 19, 2020",19,134,1066,0
"Mar 20, 2020",20,168,1341,0
"Mar 21, 2020",21,194,1513,0
"Mar 22, 2020",22,223,1621,0
"Mar 23, 2020",23,257,1811,1
"Mar 24, 2020",24,303,2033,4
"Mar 25, 2020",25,358,2264,5
"Mar 26, 2020",26,424,2519,6
"Mar 27, 2020",27,499,2768,6
"Mar 28, 2020",28,549,2887,7
"Mar 29, 2020",29,594,2965,7
"Mar 30, 2020",30,694,3186,8
"Mar 31, 2020",31,793,3403,9
"Apr 01, 2020",32,900,3637,12
"Apr 02, 2020",33,1000,3840,18
"Apr 03, 2020",34,1128,4109,20
"Apr 04, 2020",35,1194,4217,23
"Apr 05, 2020",36,1253,4302,27
"Apr 06, 2020",37,1376,4526,31
"Apr 07, 2020",38,1512,4762,36
"Apr 08, 2020",39,1677,4990,38
"Apr 09, 2020",40,1784,5166,48
"Apr 10, 2020",41,1913,5360,52
"Apr 11, 2020",42,1988,5441,62
"Apr 12, 2020",43,2035,5486,75
"Apr 13, 2020",44,2158,5612,83
"Apr 14, 2020",45,2347,5874,97
"Apr 15, 2020",46,2544,6105,106
"Apr 16, 2020",47,2744,6361,118
"Apr 17, 2020",48,2881,6600,134
"Apr 18, 2020",49,2972,6765,147
"Apr 19, 2020",50,3028,6837,164
"Apr 20, 2020",51,3214,7115,177
"Apr 21, 2020",52,3361,7318,193
"Apr 22, 2020",53,3534,7684,213
"Apr 23, 2020",54,3732,8007,228
"Apr 24, 2020",55,3926,8342,251
"Apr 25, 2020",56,3989,8524,280
"Apr 26, 2020",57,4037,8677,301
"Apr 27, 2020",58,4205,8963,324
"Apr 28, 2020",59,4371,9316,343
"Apr 29, 2020",60,4503,9692,359
"Apr 30, 2020",61,4606,10014,375
"May 01, 2020",62,4752,10352,386
"May 02, 2020",63,4816,10525,393
"May 03, 2020",64,4871,10672,404
"May 04, 2020",65,5008,11047,409
"May 05, 2020",66,5118,11439,422
"May 06, 2020",67,5228,11862,432
"May 07, 2020",68,5320,12223,442
"May 08, 2020",69,5383,12595,453
"May 09, 2020",70,5421,12807,464
"May 10, 2020",71,5446,12967,474
"May 11, 2020",72,5525,13412,481
"May 12, 2020",73,5627,14148,483
"May 13, 2020",74,5710,14710,489
"May 14, 2020",75,5816,15139,493
"May 15, 2020",76,5914,15649,498
"May 16, 2020",77,5934,15979,504
"May 17, 2020",78,5956,16260,506
"May 18, 2020",79,6023,16641,511
"May 19, 2020",80,6087,16922,514
"May 20, 2020",81,6106,17065,518
"May 21, 2020",82,6112,17100,518
